Conversation no.,No. of authors
1,3
2,2
3,2
4,2
5,3
6,2
7,3
8,2
9,2
10,2
11,2
12,3
13,2
14,2
15,2
16,2
17,2
18,3
19,3
20,3
21,2
22,3
23,2
24,2
25,3
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,3
36,2
37,2
38,3
39,2
40,3
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,3
49,2
50,2
51,2
52,2
53,2
54,3
55,2
56,3
57,2
58,2
59,2
60,2
61,2
62,3
63,2
64,3
65,2
66,3
67,2
68,2
69,3
70,3
71,2
72,2
73,3
74,4
75,2
76,2
77,2
78,2
79,4
80,2
81,2
82,3
83,3
84,2
85,3
86,3
87,2
88,2
89,4
90,2
91,3
92,3
93,3
94,5
95,3
96,2
97,4
98,2
99,2
100,2
101,2
102,2
103,3
104,2
105,2
106,3
107,2
108,3
109,2
110,2
111,3
112,3
113,3
114,2
115,3
116,2
117,2
118,3
119,3
120,4
121,3
122,3
123,4
124,3
125,4
126,3
127,2
128,2
129,3
130,6
131,4
132,3
133,2
134,3
135,2
136,2
137,2
138,2
139,2
140,3
141,2
142,3
143,2
144,2
145,5
146,2
147,2
148,3
149,3
150,3
151,3
152,2
153,2
154,2
155,2
156,3
157,2
158,2
159,4
160,2
161,3
162,3
163,3
164,4
165,2
166,2
167,2
168,3
169,2
170,3
171,3
172,2
173,2
174,2
175,3
176,2
177,2
178,4
179,2
180,4
181,2
182,4
183,4
184,2
185,4
186,4
187,4
188,2
189,5
190,5
191,2
192,2
193,3
194,2
195,2
196,4
197,3
198,2
199,2
200,2
201,4
202,2
203,3
204,2
205,2
206,4
207,2
208,2
209,3
210,6
211,3
212,4
213,2
214,2
215,2
216,3
217,3
218,5
219,3
220,2
221,4
222,2
223,3
224,5
225,2
226,2
227,2
228,2
229,4
230,3
231,3
232,2
233,5
234,2
235,2
236,2
237,2
238,2
239,4
240,2
241,2
242,2
243,2
244,2
245,4
246,2
247,3
248,3
249,6
250,2
251,2
252,2
253,4
254,3
255,3
256,2
257,2
258,4
259,2
260,3
261,2
262,4
263,3
264,4
265,2
266,2
