Conversation no.,No. of authors
1,2
2,2
3,2
4,4
5,3
6,5
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,4
20,2
21,3
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,3
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,3
44,2
45,2
46,2
47,3
48,2
49,2
50,5
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,3
60,2
61,2
62,7
63,3
64,2
65,2
66,3
67,3
68,3
69,3
70,2
71,2
72,3
73,4
74,2
75,2
76,4
77,2
78,2
79,2
80,3
81,3
82,2
83,2
84,8
85,2
86,4
87,3
88,2
89,2
90,2
91,3
92,2
93,2
94,2
95,2
96,3
97,2
98,3
99,3
100,4
101,2
102,5
103,3
104,2
105,2
106,3
107,3
108,2
109,3
110,2
111,2
112,2
113,2
114,2
115,2
116,3
117,3
118,9
119,2
120,4
121,5
122,2
123,2
124,2
125,3
126,4
127,2
128,2
129,3
130,2
131,2
132,2
133,6
134,3
135,3
136,2
137,4
138,2
139,2
140,2
141,2
142,2
143,8
144,3
145,5
146,2
147,3
148,3
149,5
150,2
151,2
152,2
153,2
154,2
155,2
156,3
157,2
158,2
159,3
160,2
161,2
162,2
163,2
164,2
165,2
166,5
167,2
168,2
169,2
170,3
171,2
172,4
173,2
174,3
175,6
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,3
184,3
185,3
186,2
187,2
188,2
189,2
190,5
191,6
192,2
193,5
194,2
195,3
196,2
197,2
198,2
199,5
200,2
201,2
202,2
203,2
204,2
205,3
206,3
207,2
208,2
209,3
210,2
211,2
212,2
213,2
214,3
215,2
216,5
217,2
218,2
219,2
220,2
221,2
222,4
223,2
224,3
225,2
226,3
227,2
228,2
229,2
230,4
231,2
232,2
233,2
234,2
235,2
236,2
237,3
238,3
239,2
240,3
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,4
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
