Conversation no.,No. of authors
1,2
2,2
3,2
4,3
5,3
6,4
7,4
8,2
9,4
10,3
11,2
12,3
13,2
14,2
15,3
16,2
17,2
18,3
19,3
20,2
21,3
22,3
23,2
24,2
25,2
26,3
27,3
28,4
29,4
30,2
31,2
32,2
33,3
34,2
35,4
36,2
37,4
38,2
39,9
40,4
41,2
42,2
43,7
44,4
45,2
46,5
47,2
48,2
49,3
50,2
51,2
52,2
53,3
54,2
55,4
56,4
57,2
58,2
59,2
60,2
61,3
62,2
63,3
64,3
65,3
66,3
67,2
68,2
69,4
70,2
71,2
72,3
73,2
74,6
75,2
76,3
77,3
78,3
79,4
80,4
81,3
82,5
83,2
84,2
85,3
86,2
87,2
88,2
89,4
90,2
91,2
92,2
93,3
94,5
95,2
96,3
97,4
98,2
99,5
100,3
101,5
102,3
103,3
104,5
105,3
106,3
107,3
108,5
109,3
110,4
111,6
112,2
113,2
114,2
115,2
116,3
117,3
118,3
119,2
120,2
121,4
122,4
123,3
124,2
125,2
126,5
127,3
128,3
129,2
130,7
131,2
132,3
133,2
134,2
135,2
136,3
137,4
138,2
139,4
140,2
141,3
142,2
143,4
144,8
145,2
146,2
147,2
148,2
149,8
150,2
151,2
152,4
153,7
154,2
155,2
156,2
157,4
158,4
159,2
160,3
161,2
162,3
163,2
164,3
165,4
166,3
167,2
168,4
169,4
170,4
171,2
172,2
173,4
174,3
175,3
176,2
177,3
178,3
179,2
180,2
181,5
182,2
183,3
184,3
185,2
186,2
187,2
188,2
189,4
190,2
191,3
192,4
193,2
194,3
195,4
196,3
197,3
198,5
199,2
200,3
201,8
202,2
203,2
204,2
205,3
206,2
207,2
208,2
209,2
210,2
211,3
212,2
213,2
214,3
215,3
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,3
229,2
230,2
231,2
232,3
233,3
234,2
235,2
236,2
237,4
238,2
239,2
240,2
241,2
242,2
243,3
244,2
245,2
246,3
247,3
248,2
249,2
250,2
251,2
252,2
253,2
254,5
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,5
264,3
265,3
266,2
